['Vagabund', 'Gratweg', '* VI', '3556', 'Vagabund', 'Gratweg', '* VI', '567000000060', 1.224744871391589]
['Lehnwächter', 'Schöne Variante', 'VIIa', '3590', 'Lehnwächter', 'Schöne Variante', 'VIIa', '564000000070', 1.224744871391589]
['Lehnwächter', 'Alter Weg', 'VI', '2840', 'Lehnwächter', 'Alter Weg', 'VI', '564000000020', 1.224744871391589]
['Lehnwächter', 'Talweg', 'VIIa', '5794', 'Lehnwächter', 'Talweg', 'VIIa', '564000000050', 1.224744871391589]
['Lehnwächter', 'Enddreißiger', 'VIIIa', '13384', 'Lehnwächter', 'Enddreißiger', 'VIIIa', '564000000080', 1.224744871391589]
['Lehnwächter', 'Südostweg', 'VIIa', '6484', 'Lehnwächter', 'Südost-Weg', 'VIIa', '564000000090', 1.1976829482147788]
['Lehnwächter', 'Variante zum Südostweg', 'VI', '12803', 'Lehnwächter', 'Variante', 'VI', '564000000110', 1.0586562163371773]
['Lorenzsporn', 'Alter Weg', 'II', '2841', 'Lorenzsporn', 'Alter Weg', 'II', '563000000010', 1.224744871391589]
['Lorenzsporn', 'Frühlingsgefühle', 'VIIIa RP VIIIb', '12759', 'Lorenzsporn', 'Frühlingsgefühle', 'VIIIa RP VIIIb', '563000000080', 1.224744871391589]
['Lorenzsporn', 'Talvariante', 'V', '10367', 'Lorenzsporn', 'Talvariante', 'V', '563000000050', 1.224744871391589]
['Lorenzsporn', 'Zeitumstellung', 'VIIIa RP VIIIb', '3589', 'Lorenzsporn', 'Zeitumstellung', 'VIIIa RP VIIIb', '563000000070', 1.224744871391589]
['Lorenzsporn', 'Familienweg', 'II', '12157', 'Lorenzsporn', 'Familienweg', 'II', '563000000100', 1.224744871391589]
['Lorenzsporn', 'Luna-Park', 'VIIc', '4600', 'Lorenzsporn', 'Luna-Park', 'VIIc', '563000000090', 1.224744871391589]
['Lorenzsporn', 'Südostwand', 'V', '4603', 'Lorenzsporn', 'Südost-Wand', 'V', '563000000040', 1.2001300817159304]
['Lorenzsporn', 'Ostweg', 'III', '4463', 'Lorenzsporn', 'Ost-Weg', 'III', '563000000030', 1.1861827340077287]
['Lorenzsporn', 'Bergweg', '2/I', '12572', 'Lorenzsporn', 'Bergweg', 'I 2', '563000000110', 1.0]
['Lorenzwand', 'Ammonstraße', 'VIIIb', '6702', 'Lorenzwand', 'Ammonstraße', 'VIIIb', '562000000180', 1.224744871391589]
['Lorenzwand', 'Obstgarten', 'VIIIb RP VIIIc', '13111', 'Lorenzwand', 'Obstgarten', 'VIIIb RP VIIIc', '562000000220', 1.224744871391589]
['Lorenzwand', 'Birne', '* VIIIc', '7608', 'Lorenzwand', 'Birne', '* VIIIc', '562000000190', 1.224744871391589]
['Lorenzwand', 'Alter Weg', 'II', '10632', 'Lorenzwand', 'Alter Weg', 'II', '562000000010', 1.224744871391589]
['Lorenzwand', 'Bananenschale', '* VIIc', '868', 'Lorenzwand', 'Bananenschale', '* VIIc', '562000000120', 1.224744871391589]
['Lorenzwand', 'Pfingstweg', '* VIIa', '590', 'Lorenzwand', 'Pfingstweg', '* VIIa', '562000000100', 1.224744871391589]
['Lorenzwand', 'Kiwi', 'VIIb', '3462', 'Lorenzwand', 'Kiwi', 'VIIb', '562000000090', 1.224744871391589]
['Lorenzwand', 'Talkamin', 'V', '8397', 'Lorenzwand', 'Talkamin', 'V', '562000000130', 1.224744871391589]
['Lorenzwand', 'Linker Schartenweg', 'III', '12350', 'Lorenzwand', 'Linker Schartenweg', 'III', '562000000290', 1.224744871391589]
['Lorenzwand', 'Kurzer Krampf', 'IV', '2462', 'Lorenzwand', 'Kurzer Krampf', 'IV', '562000000020', 1.224744871391589]
['Lorenzwand', 'Rosine', 'VIIb', '7695', 'Lorenzwand', 'Rosine', 'VIIb', '562000000150', 1.224744871391589]
['Lorenzwand', 'Cocktail', 'VIIa', '589', 'Lorenzwand', 'Cocktail', '* VIIa', '562000000050', 1.1981467170407618]
['Lorenzwand', 'Cocktail mit Pfiff', 'VIIc', '125', 'Lorenzwand', 'Cocktail mit Pfiff', '* VIIc', '562000000060', 1.1981467170407618]
['Lorenzwand', 'Mix-Tour', 'VIIb', '10020', 'Lorenzwand', 'Mix-Tour', '* VIIb', '562000000140', 1.1981467170407618]
['Lorenzwand', 'Cocktailkirsche', 'VIIa', '948', 'Lorenzwand', 'Cocktailkirsche', '* VIIa', '562000000070', 1.1981467170407618]
['Lorenzwand', 'Südrippen', 'IV', '7423', 'Lorenzwand', 'Süd-Rippen', 'IV', '562000000040', 1.1976829482147788]
['Lorenzwand', 'Maxtour', 'IXa', '2032', 'Lorenzwand', 'Max-Tour', 'IXa', '562000000170', 1.1909671606630376]
['Lorenzwand', 'Molotovcocktail', 'VIIIa', '3169', 'Lorenzwand', 'Molotowcocktail', 'VIIIa', '562000000030', 1.1887331154439529]
['Lorenzwand', 'Banane', '* VIIc', '591', 'Lorenzwand', 'Banane', '* VIIb RP VIIc', '562000000110', 1.1225299380825635]
['Lorenzwand', 'Variante zur Mix-Tour', 'VIIb', '4593', 'Lorenzwand', 'Variante', '* VIIb', '562000000160', 1.032200144263742]
['Lorenzriff', 'Der Anfang vom Ende', 'IXc RP Xa', '9384', 'Lorenzriff', 'Der Anfang vom Ende', 'IXc RP Xa', '561000000080', 1.224744871391589]
['Lorenzriff', 'Dickes Ende', 'VIIIc (IXc)', '8606', 'Lorenzriff', 'Dickes Ende', 'VIIIc (IXc)', '561000000100', 1.224744871391589]
['Lorenzriff', 'Kurzkrimi', 'VIIc', '7561', 'Lorenzriff', 'Kurzkrimi', 'VIIc', '561000000120', 1.224744871391589]
['Lorenzriff', 'Alter Weg', 'III', '9322', 'Lorenzriff', 'Alter Weg', 'III', '561000000010', 1.224744871391589]
['Lorenzriff', 'Nordwestkamin', 'III', '12597', 'Lorenzriff', 'Nordwest-Kamin', 'III', '561000000150', 1.2053828627473466]
['Lorenzriff', 'Gedicht', 'VIIIb', '1079', 'Lorenzriff', 'Gedicht', '* VIIIb', '561000000070', 1.2024922678840757]
['Lorenzriff', 'Kritzel-Kraxel', 'VIIIb', '3273', 'Lorenzriff', 'Kritzel-Kraxel', '* VIIIb', '561000000060', 1.2024922678840757]
['Lorenzriff', 'Südostkamin', 'III', '2842', 'Lorenzriff', 'Südost-Kamin', 'III', '561000000030', 1.2021713893545778]
['Lorenzriff', 'Westwand', 'IXa', '5277', 'Lorenzriff', 'West-Wand', 'IXa', '561000000130', 1.1946956382436527]
['Lorenzriff', 'Farbenpracht', 'VIIIa', '1078', 'Lorenzriff', 'Farbenpracht', 'VIIIb', '561000000040', 1.1728408057172788]
['Lorenzriff', 'Von Anfang bis Ende', 'Xa', '6642', 'Lorenzriff', 'Von Anfang bis Ende', '* Xa', '561000000090', 1.0]
['Lorenznadel', 'Talweg', 'VIIc', '5932', 'Lorenznadel', 'Talweg', '* VIIc RP VIIIa', '560000000070', 1.1412576991207855]
['Lorenznadel', 'Alter Weg', 'V', '124', 'Lorenznadel', 'Alter Weg', '* IV (V)', '560000000010', 1.12285460730043]
['Lorenznadel', 'Flachköper', 'VIIIb', '5180', 'Lorenznadel', 'Flachkörper', 'VIIIa', '560000000080', 1.1190765903456688]
['Lorenznadel', 'Kernzone', 'VIIc', '7306', 'Lorenznadel', 'Kernzone', 'VIIb RP VIIc', '560000000100', 1.1106179461102823]
['Lorenznadel', 'Südkante', 'V (VI)', '3386', 'Lorenznadel', 'Süd-Kante', 'V', '560000000020', 1.0937031393057706]
['Lorenznadel', 'Südwinkel', 'VIIb', '3384', 'Lorenznadel', 'Südwest-Winkel', 'VIIb', '560000000050', 1.0728711954893762]
['Lorenznadel', 'Logische Variante', 'VIIa', '867', 'Lorenznadel', 'Logischer Weg', 'VIIa', '560000000090', 1.0682832793573878]
['Lorenznadel', 'Vorblockreibung', 'VI', '4464', 'Lorenznadel', 'Vorgipfelreibung', 'VI', '560000000110', 1.0281152577364518]
['Lorenznadel', 'Direkter Südwestwinkel', 'VIIa', '3463', 'Lorenznadel', 'Direkte Südwest-Seite', 'VI', '560000000040', 1.0270067950888817]
['Lorenznadel', 'Westvariante', 'V', '3214', 'Lorenznadel', 'Südwest-Seite', 'VI', '560000000030', 0.8159524515477775]
['Lorenznadel', 'Logische Variante zum AW', 'VIIa', '2843', 'Lorenznadel', 'West-Weg', '* V', '560000000060', 0.6270029633497618]
['Lorenzturm, Vorderer', 'Rush hour', 'IXa RP IXb', '4360', 'Vorderer Lorenzturm', 'Rush Hour', 'IXa RP IXb', '559000000130', 1.224744871391589]
['Lorenzturm, Vorderer', 'Alter Weg', 'IV', '7424', 'Vorderer Lorenzturm', 'Alter Weg', 'IV', '559000000010', 1.224744871391589]
['Lorenzturm, Vorderer', 'Dunkler Westen', 'VIIIa RP VIIIb', '5931', 'Vorderer Lorenzturm', 'Dunkler Westen', 'VIIIa RP VIIIb', '559000000090', 1.224744871391589]
['Lorenzturm, Vorderer', 'Wandvariante', 'VIIb', '5451', 'Vorderer Lorenzturm', 'Wandvariante', 'VIIb', '559000000020', 1.224744871391589]
['Lorenzturm, Vorderer', 'Schwarze Magie', 'VIIIb RP VIIIc', '5750', 'Vorderer Lorenzturm', 'Schwarze Magie', 'VIIIb RP VIIIc', '559000000100', 1.224744871391589]
['Lorenzturm, Vorderer', 'Urlaubsweg', 'VIIc (VIIIc)', '12177', 'Vorderer Lorenzturm', 'Urlaubsweg', 'VIIc (VIIIc)', '559000000110', 1.224744871391589]
['Lorenzturm, Vorderer', 'Vorsaison', 'VIIIc', '10770', 'Vorderer Lorenzturm', 'Vorsaison', '* VIIIc', '559000000120', 1.2024922678840757]
['Lorenzturm, Vorderer', 'Südostkante', 'IV', '12684', 'Vorderer Lorenzturm', 'Südost-Kante', 'IV', '559000000040', 1.2021713893545778]
['Lorenzturm, Vorderer', 'Südwestkante', 'V', '8400', 'Vorderer Lorenzturm', 'Südwest-Kante', '* V', '559000000070', 0.9743589743589745]
['Lorenzturm, Vorderer', 'Südwand', 'IV', '2463', 'Vorderer Lorenzturm', 'Süd-Wand', '* IV', '559000000050', 0.9583333333333334]
['Lorenzturm, Hinterer', 'Alter Weg', 'V', '2844', 'Hinterer Lorenzturm', 'Alter Weg', 'V', '558000000020', 1.224744871391589]
['Lorenzturm, Hinterer', 'Rissspurvariante', 'VI', '5484', 'Hinterer Lorenzturm', 'Rissspurvariante', 'VI', '558000000030', 1.224744871391589]
['Lorenzturm, Hinterer', 'Direkte Südwand', '* VIIa', '6571', 'Hinterer Lorenzturm', 'Direkte Süd-Wand', '* VIIa', '558000000090', 1.2077944200529787]
['Toter Turm', 'Alter Weg', 'V', '3301', 'Toter Turm', 'Alter Weg', 'V', '557000000010', 1.224744871391589]
['Toter Turm', 'Ostkante', '* V', '1287', 'Toter Turm', 'Ost-Kante', '!* V', '557000000020', 0.9629629629629629]
['Dickwanst', 'Schartenweg', 'V', '9327', 'Dickwanst', 'Schartenweg', 'V', '556000000070', 1.224744871391589]
['Dickwanst', 'Bergweg', 'IV', '4461', 'Dickwanst', 'Bergweg', 'IV', '556000000090', 1.224744871391589]
['Dickwanst', 'Gratweg', 'III', '4465', 'Dickwanst', 'Gratweg', 'III', '556000000080', 1.224744871391589]
['Dickwanst', 'Allerheiligen', 'VI', '4462', 'Dickwanst', 'Allerheiligen', 'VI', '556000000040', 1.224744871391589]
['Dickwanst', 'Talweg', 'VI', '7777', 'Dickwanst', 'Talweg', 'VI', '556000000030', 1.224744871391589]
['Dickwanst', 'Speckseite', 'VI', '10494', 'Dickwanst', 'Speckschwarte', 'VIIIc RP IXa', '556000000020', 0.9576639888718038]
['Spieß', 'Alter Weg', 'IV', '6248', 'Spieß', 'Alter Weg', 'IV', '555000000010', 1.224744871391589]
['Spieß', 'Kapriole', 'VIIc', '7719', 'Spieß', 'Kapriole', 'VIIc RP VIIIa', '555000000020', 1.1447167737893396]
['Promenadenturm', 'Bahnlegerweg', 'VIIb', '7004', 'Promenadenturm', 'Bahnlegerweg', 'VIIb', '554000000020', 1.224744871391589]
['Promenadenturm', 'Alter Weg', 'IV (VIIa)', '4038', 'Promenadenturm', 'Alter Weg', 'IV (VIIa)', '554000000010', 1.224744871391589]
['Promenadenturm', 'AWest-Überfall', 'V', '13184', 'Promenadenturm', 'Routenwahlproblem', 'VIIIc RP IXa', '554000000070', 0.7594133243901002]
['Promenadenspitze', 'Talweg', 'VIIb', '7718', 'Promenadenspitze', 'Talweg', 'VIIb', '553000000060', 1.224744871391589]
['Promenadenspitze', 'Alter Weg', 'III', '7006', 'Promenadenspitze', 'Alter Weg', 'III', '553000000010', 1.224744871391589]
['Promenadenspitze', 'Schartenriss', 'III', '13414', 'Promenadenspitze', 'Schartenriss', 'III', '553000000120', 1.224744871391589]
['Promenadenspitze', 'Neuer Weg', 'III', '4466', 'Promenadenspitze', 'Neuer Weg', 'III', '553000000100', 1.224744871391589]
['Promenadenspitze', 'Nordwestweg', 'III', '10395', 'Promenadenspitze', 'Nordwest-Weg', 'III', '553000000040', 1.2021713893545778]
['Promenadensäule', 'Talweg', 'VIIc', '5821', 'Promenadensäule', 'Talweg', 'VIIc', '552000000030', 1.224744871391589]
['Promenadensäule', 'Bergweg', 'V', '7005', 'Promenadensäule', 'Bergweg', 'V', '552000000010', 1.224744871391589]
['Promenadensäule', 'Variante zur Spreize', 'V', '4570', 'Promenadensäule', 'Variante', 'V', '552000000060', 1.0677078252031311]
['Promenadensäule', 'Talverschneidung', '! V', '13534', 'Promenadensäule', 'Talverschneidung', 'V', '552000000020', 1.0]
['Wackerzacke', 'Mackerzacke', 'VIIb', '13135', 'Wackerzacke', 'Mackerzacke', 'VIIb', '551000000020', 1.224744871391589]
['Wackerzacke', 'Neuer Weg', 'VIIa', '11426', 'Wackerzacke', 'Neuer Weg', 'VIIa', '551000000030', 1.224744871391589]
['Wackerzacke', 'Alter Weg', 'VIIa', '318', 'Wackerzacke', 'Alter Weg', '* VIIa', '551000000010', 1.1981467170407618]
['Wilder-Grund-Turm', 'Neuer Talweg', 'VIIc', '10112', 'Wilder-Grund-Turm', 'Neuer Talweg', 'VIIc', '550000000070', 1.224744871391589]
['Wilder-Grund-Turm', 'Schartenweg', 'VI (VIIb)', '10105', 'Wilder-Grund-Turm', 'Schartenweg', 'VI (VIIb)', '550000000030', 1.224744871391589]
['Wilder-Grund-Turm', 'Alter Weg', 'IV', '4467', 'Wilder-Grund-Turm', 'Alter Weg', 'IV', '550000000010', 1.224744871391589]
['Wilder-Grund-Turm', 'Unterschätzung', 'VIIIa', '10113', 'Wilder-Grund-Turm', 'Unterschätzung', 'VIIIa', '550000000090', 1.224744871391589]
['Wilder-Grund-Turm', 'Talweg', 'V', '9653', 'Wilder-Grund-Turm', 'Talweg', 'V', '550000000080', 1.224744871391589]
['Wilder-Grund-Turm', 'Neuer Schartenweg', 'VI', '5053', 'Wilder-Grund-Turm', 'Neuer Schartenweg', 'VI', '550000000040', 1.224744871391589]
['Wilder-Grund-Turm', 'Ostkante', 'VI (VIIa)', '10846', 'Wilder-Grund-Turm', 'Ost-Kante', 'VI (VIIa)', '550000000060', 1.1946956382436527]
['Wilder-Grund-Turm', 'Variante zum Neuen Schartenweg', 'VI', '12892', 'Wilder-Grund-Turm', 'Variante', 'VI', '550000000050', 1.0348256846111157]
['Affenwand', 'Affengeil', 'VIIIc RP IXa', '9144', 'Affenwand', 'Affengeil', 'VIIIc RP IXa', '549000000140', 1.224744871391589]
['Affenwand', 'Alter Weg', 'I', '11504', 'Affenwand', 'Alter Weg', 'I', '549000000010', 1.224744871391589]
['Affenwand', 'Übler Weg', 'V', '10740', 'Affenwand', 'Übler Weg', 'V', '549000000050', 1.224744871391589]
['Affenwand', 'Kurzer Weg', 'III', '11139', 'Affenwand', 'Kurzer Weg', 'III', '549000000030', 1.224744871391589]
['Affenwand', 'Affenarme', 'VIIa', '9996', 'Affenwand', 'Affenarme', 'VIIa', '549000000040', 1.224744871391589]
['Affenwand', 'Affenliebe', 'VIIa', '2947', 'Affenwand', 'Affenliebe', '* VIIa', '549000000120', 1.1981467170407618]
['Affenwand', 'Ostkante', 'V', '10739', 'Affenwand', 'Ost-Kante', 'V', '549000000060', 1.1946956382436527]
['Affenwand', 'Südrinne', 'IV', '12885', 'Affenwand', 'Süd-Rinne', 'IV', '549000000090', 1.1946956382436527]
['Affenwand', 'Südweg', 'II', '9669', 'Affenwand', 'Süd-Weg', 'II', '549000000110', 1.1861827340077287]
['Affenwand', 'Nordwestwand', 'VIIc', '757', 'Affenwand', 'Nordwest-Wand', 'VIIb (VIIc)', '549000000160', 1.087587988686936]
['Affenwand', 'Klammeraffe', 'RP IXa', '4520', 'Affenwand', 'Klammeraffe', 'VIIc RP VIIIa', '549000000150', 1.0637912728810726]
['Affenwand', 'Westkante', 'III', '3103', 'Affenwand', 'West-Kante', '!* IV', '549000000130', 1.036204195997328]
['Domerker', 'Lichtblick', 'IXb RP IXc', '7493', 'Domerker', 'Lichtblick', 'IXb RP IXc', '548000000060', 1.224744871391589]
['Domerker', 'Große Freiheit', 'IXa RP IXb', '5245', 'Domerker', 'Große Freiheit', '* IXa RP IXb', '548000000100', 1.2098135534119314]
['Domerker', 'Zeitiger Herbstwind', 'IXb RP IXc', '7505', 'Domerker', 'Zeitiger Herbstwind', '!* IXb RP IXc', '548000000120', 1.1981467170407618]
['Domerker', 'Südwestwand', 'VIIIc', '1692', 'Domerker', 'Südwest-Wand', '* VIIIc', '548000000080', 1.1794929858645637]
['Domerker', 'Südwand', 'VIIc', '1975', 'Domerker', 'Süd-Wand', '** VIIc', '548000000020', 1.1460647914375695]
['Domerker', 'Boulderreibung', 'VIIIa', '5547', 'Domerker', 'Boulderreibung', '!* VIIIb', '548000000180', 1.1456117596528395]
['Domerker', 'Im Sonnenschein', 'IXb', '8451', 'Domerker', 'Im Sonnenschein', '* IXb RP IXc', '548000000040', 1.1412576991207855]
['Domerker', 'Hyäne', 'Xb', '4224', 'Domerker', 'Hyäne', '* Xb RP Xc', '548000000160', 1.1358914706549108]
['Domerker', 'Diabolo', 'Xb', '7285', 'Domerker', 'Diabolo', '** Xb RP Xc', '548000000140', 1.1319231422671772]
['Domerker', 'Warum queren?', 'VIIIb', '5399', 'Domerker', 'Warum queren?', 'VIIIa RP VIIIb', '548000000090', 1.1193031341744915]
['Domerker', 'Hitzeschlacht', 'VIIIc', '1691', 'Domerker', 'Hitzeschlacht', '* VIIIb RP VIIIc', '548000000050', 1.1166011638476163]
['Domerker', 'Kap Horn', 'Xb', '3787', 'Domerker', 'Kap Hoorn', '* Xb RP Xc', '548000000070', 1.1034251678953968]
['Domerker', 'Alter Weg', 'II', '2949', 'Domerker', 'Alter Weg', '* II', '548000000010', 1.0893706417293099]
['Domerker', 'Talweg', 'VI', '1153', 'Domerker', 'Talweg', '* VI', '548000000170', 1.0]
['Domkanzel', 'Schartenrippe', 'IV', '5776', 'Domkanzel', 'Schartenrippe', 'IV', '547000000040', 1.224744871391589]
['Domkanzel', 'Talweg', 'VIIb (VIIIa)', '9369', 'Domkanzel', 'Talweg', 'VIIb (VIIIa)', '547000000240', 1.224744871391589]
['Domkanzel', 'Alter Weg', 'IV', '11404', 'Domkanzel', 'Alter Weg', 'IV', '547000000030', 1.224744871391589]
['Domkanzel', 'Blockbuster', 'IXb RP IXc', '4210', 'Domkanzel', 'Blockbuster', 'IXb RP IXc', '547000000110', 1.224744871391589]
['Domkanzel', 'Vorfreude', 'IV', '11786', 'Domkanzel', 'Vorfreude', 'IV', '547000000060', 1.224744871391589]
['Domkanzel', 'Domina', 'Xa RP Xb', '4211', 'Domkanzel', 'Domina', 'Xa RP Xb', '547000000290', 1.224744871391589]
['Domkanzel', 'Dominante', 'VIIIc RP IXa', '1876', 'Domkanzel', 'Dominante', '* VIIIc RP IXa', '547000000220', 1.2124999408328823]
['Domkanzel', 'Südwestweg', 'IV', '9496', 'Domkanzel', 'Südwest-Weg', 'IV', '547000000090', 1.2001300817159304]
['Domkanzel', 'Direkte Dominante', 'IXa', '4373', 'Domkanzel', 'Direkte Dominante', '* IXa', '547000000230', 1.191695803839591]
['Domkanzel', 'Traumzeit', 'VIIIc', '1550', 'Domkanzel', 'Traumzeit', '** VIIIc RP IXa', '547000000160', 1.1508518047703666]
['Domkanzel', 'Weymouthriß', 'VIIIa', '11769', 'Domkanzel', 'Weymouthsriss', 'VIIIa', '547000000210', 1.1388789328188709]
['Domkanzel', 'Keine Gewalt', 'Xa', '8782', 'Domkanzel', 'Keine Gewalt', '* Xa', '547000000120', 1.0]
['Domwächter', 'Spreize', 'V', '9954', 'Domwächter', 'Spreize', 'V', '546000000020', 1.224744871391589]
['Domwächter', 'Alter Weg', 'III', '7603', 'Domwächter', 'Alter Weg', 'III', '546000000010', 1.224744871391589]
['Domwächter', 'Süd-Wand', 'VIIIc (IXb)', '13046', 'Domwächter', 'Süd-Wand', 'VIIIc (IXb)', '546000000040', 1.224744871391589]
['Domwächter', 'Gesprengte Ketten', 'Xc', '8236', 'Domwächter', 'Gesprengte Ketten', 'Xc', '546000000170', 1.224744871391589]
['Domwächter', 'Florett', 'VIIIc RP IXa', '8444', 'Domwächter', 'Florett', '* VIIIc RP IXa', '546000000120', 1.2124999408328823]
['Domwächter', 'Westwand', 'VIIIa', '1549', 'Domwächter', 'West-Wand', '* VIIIa', '546000000130', 1.1718725708708249]
